"公司代號","公司名稱","產業別","基本每股盈餘(元)","普通股每股面額","營業收入","營業利益","營業外收入及支出","稅後淨利",
"2029","盛餘股份有限公司","鋼鐵工業","1.92","新台幣                 10.0000元","10367325.00","824155.00","-33734.00","622418.00",
"2030","彰源企業股份有限公司","鋼鐵工業","1.29","新台幣                 10.0000元","9295533.00","568549.00","-104246.00","350727.00",
"2031","新光鋼鐵股份有限公司","鋼鐵工業","2.50","新台幣                 10.0000元","6450482.00","898750.00","-2919.00","772561.00",
"2032","新鋼工業股份有限公司","鋼鐵工業","0.02","新台幣                 10.0000元","2038241.00","2591.00","2257.00","3192.00",
"2033","佳大世界股份有限公司","鋼鐵工業","0.23","新台幣                 10.0000元","572335.00","26039.00","-2631.00","18333.00",
"2034","允強實業股份有限公司","鋼鐵工業","1.60","新台幣                 10.0000元","14731402.00","852560.00","-75703.00","649516.00",
"2038","海光企業股份有限公司","鋼鐵工業","-0.52","新台幣                 10.0000元","3445322.00","-109526.00","11794.00","-117336.00",
"2049","上銀科技股份有限公司","電機機械","6.75","新台幣                 10.0000元","15016532.00","2129871.00","-21721.00","1663209.00",
"2059","川湖科技股份有限公司","電子零組件業","6.17","新台幣                 10.0000元","2997449.00","1220080.00","-366876.00","587563.00",
"2062","橋椿金屬股份有限公司","其他","1.21","新台幣                 10.0000元","4524182.00","306341.00","-7851.00","195231.00",
"2069","運錩鋼鐵股份有限公司","鋼鐵工業","0.80","新台幣                 10.0000元","6449769.00","183032.00","-55834.00","106727.00",
"2101","南港輪胎股份有限公司","橡膠工業","0.65","新台幣                 10.0000元","8744134.00","734859.00","-46947.00","523119.00",
"2102","泰豐輪胎股份有限公司","橡膠工業","-1.42","新台幣                 10.0000元","4348903.00","-269311.00","-394367.00","-654715.00",
"2103","台橡股份有限公司","橡膠工業","0.68","新台幣                 10.0000元","24671141.00","841487.00","-106171.00","478572.00",
"2104","中國合成橡膠股份有限公司","橡膠工業","3.13","新台幣                 10.0000元","14842982.00","2821937.00","150787.00","1959793.00",
"2105","正新橡膠工業股份有限公司","橡膠工業","1.45","新台幣                 10.0000元","85189740.00","6621920.00","122396.00","4739060.00",
"2106","建大工業股份有限公司","橡膠工業","0.39","新台幣                 10.0000元","22672729.00","1009531.00","-376991.00","340460.00",
"2107","厚生股份有限公司","橡膠工業","0.46","新台幣                 10.0000元","1286520.00","223600.00","-26149.00","190332.00",
"2108","南帝化學工業股份有限公司","橡膠工業","1.06","新台幣                 10.0000元","8421650.00","704946.00","-42496.00","539418.00",
"2109","華豐橡膠工業股份有限公司","橡膠工業","0.02","新台幣                 10.0000元","4380942.00","119649.00","55581.00","106373.00",
"2114","鑫永銓股份有限公司","橡膠工業","3.18","新台幣                 10.0000元","1152200.00","294935.00","-36138.00","214764.00",
"2115","六暉控股股份有限公司","橡膠工業","2.64","新台幣                 10.0000元","1981019.00","301629.00","-7259.00","216486.00",
"2201","裕隆汽車製造股份有限公司","汽車工業","1.43","新台幣                 10.0000元","69284634.00","2012018.00","1515649.00","2473562.00",
"2204","中華汽車工業股份有限公司","汽車工業","2.40","新台幣                 10.0000元","30940579.00","2163191.00","1755002.00","3570610.00",
"2206","三陽工業股份有限公司","汽車工業","0.78","新台幣                 10.0000元","24425413.00","724794.00","113710.00","715271.00",
"2207","和泰汽車股份有限公司","汽車工業","14.23","新台幣                 10.0000元","132134262.00","--","--","8898795.00",
"2208","台灣國際造船股份有限公司","航運業","-6.45","新台幣                 10.0000元","12711779.00","-5152427.00","-113243.00","-4797259.00",
"2227","裕隆日產汽車股份有限公司","汽車工業","16.55","新台幣                 10.0000元","26623179.00","1811839.00","4168459.00","4964041.00",
"2228","劍麟股份有限公司","電機機械","4.73","新台幣                 10.0000元","3275710.00","504957.00","31255.00","358549.00",
"2231","為升電裝工業股份有限公司","電機機械","7.51","新台幣                 10.0000元","2634843.00","939134.00","-115645.00","724398.00",
"2236","百達精密工業股份有限公司","電機機械","2.55","新台幣                 10.0000元","1531386.00","164360.00","3165.00","120752.00",
"2239","開曼英利工業股份有限公司","汽車工業","5.97","新台幣                 10.0000元","13171940.00","1316209.00","-177547.00","894363.00",
"2243","宏旭控股股份有限公司","汽車工業","0.52","新台幣                 10.0000元","1638370.00","53721.00","-16221.00","19315.00",
"2301","光寶科技股份有限公司","電腦及週邊設備業","0.14","新台幣                 10.0000元","160404490.00","6067598.00","-5778908.00","337095.00",
